pin,slack
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_33:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_33:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_33:IPC,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:ADn,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:ALn,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:CLK,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:D,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:EN,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:LAT,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:Q,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:SD,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1_b13_PLF_2grFt_FH9[28]:SLn,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_10/CFG_19:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_10/CFG_19:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_10/CFG_19:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_10/CFG_19:IPC,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKII/b3_P_F_6_2:A,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKII/b3_P_F_6_2:B,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKII/b3_P_F_6_2:C,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKII/b3_P_F_6_2:D,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKII/b3_P_F_6_2:Y,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_9/FF_26:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:ADn,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:ALn,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:LAT,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:SD,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b7_nYJ_BFM[19]:SLn,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[30]:A,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[30]:B,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[30]:C,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[30]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[30]:Y,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:A,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:B,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:C,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:CC,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:D,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:P,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:S,
ident_coreinst/IICE_INST/b3_SoW/b12_2_St6KCa_jHv_cry[10]:UB,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:ADn,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:ALn,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:CLK,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:D,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:EN,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:LAT,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:Q,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:SD,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[158]:SLn,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_6/CFG_16:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_6/CFG_16:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_6/CFG_16:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_6/CFG_16:IPC,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:ADn,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:ALn,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:CLK,11673
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:D,12764
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:EN,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:LAT,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:Q,11673
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:SD,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/INTERRUPT_INST/RX_PACKET_END_ALL_NEW_SYNC/sig_out_d[3]:SLn,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:ADn,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:ALn,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:CLK,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:D,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:EN,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:LAT,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:Q,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:SD,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register7[2]:SLn,
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:A,
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:B,17410
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:C,
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:CC,16634
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:D,
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:P,
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:S,16634
m2s010_som_sb_0/CORERESETP_0/count_ddr_cry[4]:UB,
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/RECEIVE_STATE_MACHINE_INST/RX_STATE_tr3_0_a2_0_a2:A,3751
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/RECEIVE_STATE_MACHINE_INST/RX_STATE_tr3_0_a2_0_a2:B,3699
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/RECEIVE_STATE_MACHINE_INST/RX_STATE_tr3_0_a2_0_a2:Y,3699
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_34/CFG_4:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_34/CFG_4:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_34/CFG_4:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_34/CFG_4:IPC,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_0_INST/debounce_cntr_RNI0GQI[14]:A,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_0_INST/debounce_cntr_RNI0GQI[14]:B,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_0_INST/debounce_cntr_RNI0GQI[14]:C,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_0_INST/debounce_cntr_RNI0GQI[14]:Y,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:ADn,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:ALn,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:CLK,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:D,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:EN,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:LAT,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:Q,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:SD,
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[109]:SLn,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[27]:A,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[27]:B,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[27]:C,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[27]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9_b3_PfG_RNO[27]:Y,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_30/CFG_3:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_30/CFG_3:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_30/CFG_3:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_30/CFG_3:IPC,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_15/FF_14:EN,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:ADn,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:ALn,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:CLK,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:D,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:EN,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:LAT,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:Q,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:SD,
ident_coreinst/IICE_INST/b3_SoW/virOut/genblk1_b13_PLF_2grFt_FH9[31]:SLn,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/NIBBLE_TO_SERIAL_SM_INST/Jam_cntr_lm_0[11]:A,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/NIBBLE_TO_SERIAL_SM_INST/Jam_cntr_lm_0[11]:B,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/NIBBLE_TO_SERIAL_SM_INST/Jam_cntr_lm_0[11]:C,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/NIBBLE_TO_SERIAL_SM_INST/Jam_cntr_lm_0[11]:D,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/NIBBLE_TO_SERIAL_SM_INST/Jam_cntr_lm_0[11]:Y,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_35:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_35:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_4/CFG_23:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_4/CFG_23:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_4/CFG_23:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_4/CFG_23:IPC,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKES0/b3_P_F_6_2:A,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKES0/b3_P_F_6_2:B,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKES0/b3_P_F_6_2:C,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKES0/b3_P_F_6_2:D,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKES0/b3_P_F_6_2:Y,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_15/FF_15:EN,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_0/CFG_29:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_0/CFG_29:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_0/CFG_29:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_0/CFG_29:IPC,
CommsFPGA_top_0/q[10]:ADn,
CommsFPGA_top_0/q[10]:ALn,
CommsFPGA_top_0/q[10]:CLK,
CommsFPGA_top_0/q[10]:D,
CommsFPGA_top_0/q[10]:EN,
CommsFPGA_top_0/q[10]:LAT,
CommsFPGA_top_0/q[10]:Q,
CommsFPGA_top_0/q[10]:SD,
CommsFPGA_top_0/q[10]:SLn,
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:ADn,
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:ALn,12510
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:CLK,10615
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:D,12764
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:EN,
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:LAT,
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:Q,10615
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:SD,
m2s010_som_sb_0/CORERESETP_0/ddr_settled_clk_base:SLn,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_14:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_14:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_14:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_14:IPC,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:ADn,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:ALn,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:D,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:LAT,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:SD,
ident_coreinst/IICE_INST/b5_nUTGT/b15_uRrc2XfY_rbN_gr[10]:SLn,
m2s010_som_sb_0/m2s010_som_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_160:A,
m2s010_som_sb_0/m2s010_som_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_160:B,
m2s010_som_sb_0/m2s010_som_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_160:C,
m2s010_som_sb_0/m2s010_som_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_160:IPA,
m2s010_som_sb_0/m2s010_som_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_160:IPB,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:ADn,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:ALn,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:CLK,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:D,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:EN,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:LAT,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:Q,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr_0_0[1]:SD,
